FormName,FormFreq,Username,The people I work with have excellent knowledge of autism,"I feel that if a new person was to join the team and they disclosed they were autistic, they would be well supported and understood by others",I feel that the management of the team are constantly improving their knowledge about autism,It is easy to find information within the organisation about supporting autistic employees,There are established pathways for autistic people to seek advice and support for managing their daily work activities,The organisation has been proactive in making adjustments and providing autism awareness training for employees,I think the organisation performs better than other organisations in the sector in terms of quality of support for autistic employees,Date,ID,Average
Autistica - Organisational Culture,30,11168511,4,1,4,1,4,4,4,1/1/19,32,3.14285714285714
Autistica - Organisational Culture,30,85920205,1,1,4,4,4,4,4,1/1/19,33,3.14285714285714
Autistica - Organisational Culture,30,83766303,1,1,4,4,1,4,1,1/1/19,34,2.28571428571429
Autistica - Organisational Culture,30,64793738,4,4,4,4,1,1,4,1/1/19,35,3.14285714285714
Autistica - Organisational Culture,30,59096037,1,1,4,1,1,1,4,1/1/19,36,1.85714285714286
Autistica - Organisational Culture,30,77773077,4,4,4,4,1,1,1,1/1/19,37,2.71428571428571
Autistica - Organisational Culture,30,47375033,4,4,4,1,1,4,1,1/1/19,38,2.71428571428571
Autistica - Organisational Culture,30,39847852,4,1,4,1,4,4,1,1/1/19,39,2.71428571428571
Autistica - Organisational Culture,30,68971632,4,4,1,1,4,4,1,1/1/19,40,2.71428571428571
Autistica - Organisational Culture,30,22090963,1,4,1,1,4,4,1,1/1/19,41,2.28571428571429
Autistica - Organisational Culture,30,60377624,4,1,4,4,1,1,1,1/1/19,42,2.28571428571429
Autistica - Organisational Culture,30,30738880,1,1,1,1,1,1,4,1/1/19,43,1.42857142857143
Autistica - Organisational Culture,30,86589369,4,1,4,1,4,1,4,1/1/19,44,2.71428571428571
Autistica - Organisational Culture,30,66155821,4,1,1,1,1,4,1,1/1/19,45,1.85714285714286
Autistica - Organisational Culture,30,61677296,1,1,1,4,1,1,1,1/1/19,46,1.42857142857143
Autistica - Organisational Culture,30,56419454,4,1,1,1,1,1,4,1/1/19,47,1.85714285714286
Autistica - Organisational Culture,30,86397034,4,1,1,1,1,4,4,1/1/19,48,2.28571428571429
Autistica - Organisational Culture,30,41455969,1,1,1,4,1,4,4,1/1/19,49,2.28571428571429
Autistica - Organisational Culture,30,23394144,4,4,1,1,1,4,4,1/1/19,50,2.71428571428571
Autistica - Organisational Culture,30,21326904,4,1,4,1,4,1,4,1/1/19,51,2.71428571428571
Autistica - Organisational Culture,30,44980497,1,1,1,1,1,4,1,1/1/19,52,1.42857142857143
Autistica - Organisational Culture,30,38982647,4,1,1,1,4,4,1,1/1/19,53,2.28571428571429
Autistica - Organisational Culture,30,80484260,1,4,1,1,4,1,1,1/1/19,54,1.85714285714286
Autistica - Organisational Culture,30,24052776,1,1,1,1,4,1,1,1/1/19,55,1.42857142857143
Autistica - Organisational Culture,30,70538701,4,1,1,1,1,1,1,1/1/19,56,1.42857142857143
Autistica - Organisational Culture,30,89804580,2,4,4,4,1,1,1,1/1/19,57,2.42857142857143
Autistica - Organisational Culture,30,17191527,4,1,1,1,4,4,1,1/1/19,58,2.28571428571429
Autistica - Organisational Culture,30,12248148,4,1,1,1,1,4,4,1/1/19,59,2.28571428571429
Autistica - Organisational Culture,30,14567809,4,1,4,1,1,1,1,1/1/19,60,1.85714285714286
Autistica - Organisational Culture,30,53779464,4,4,1,4,4,4,4,1/1/19,61,3.57142857142857
Autistica - Organisational Culture,30,97777931,4,4,1,4,1,4,4,1/1/19,62,3.14285714285714
Autistica - Organisational Culture,30,99713717,4,4,1,1,1,4,4,1/1/19,63,2.71428571428571
Autistica - Organisational Culture,30,93466703,4,4,4,1,1,4,4,1/1/19,64,3.14285714285714
Autistica - Organisational Culture,30,37419497,4,4,1,1,1,4,4,1/1/19,65,2.71428571428571
Autistica - Organisational Culture,30,35358065,1,1,1,1,1,1,4,1/1/19,66,1.42857142857143
Autistica - Organisational Culture,30,86131995,1,4,1,1,4,4,4,1/1/19,67,2.71428571428571
Autistica - Organisational Culture,30,57180656,2,1,4,1,1,4,1,1/1/19,68,2
Autistica - Organisational Culture,30,62929404,4,1,1,1,4,4,4,1/1/19,69,2.71428571428571
Autistica - Organisational Culture,30,30901982,2,1,4,4,1,4,4,1/1/19,70,2.85714285714286
Autistica - Organisational Culture,30,93085379,2,4,4,1,1,4,4,1/1/19,71,2.85714285714286
Autistica - Organisational Culture,30,77431644,2,1,1,1,4,1,1,1/1/19,72,1.57142857142857
Autistica - Organisational Culture,30,67013133,4,1,1,1,4,1,1,1/1/19,73,1.85714285714286
Autistica - Organisational Culture,30,13838301,1,4,4,4,1,4,4,1/1/19,74,3.14285714285714
Autistica - Organisational Culture,30,66718298,2,1,4,1,4,4,1,1/1/19,75,2.42857142857143
Autistica - Organisational Culture,30,24641611,1,1,4,1,1,4,4,1/1/19,76,2.28571428571429
Autistica - Organisational Culture,30,67388864,1,1,4,1,4,4,1,1/1/19,77,2.28571428571429
Autistica - Organisational Culture,30,25055544,4,4,4,1,1,4,4,1/1/19,78,3.14285714285714
Autistica - Organisational Culture,30,24503298,2,1,1,4,1,4,1,1/1/19,79,2
Autistica - Organisational Culture,30,43928283,4,4,4,1,1,4,1,1/1/19,80,2.71428571428571
Autistica - Organisational Culture,30,19630284,1,4,1,4,1,1,4,1/1/19,81,2.28571428571429
Autistica - Organisational Culture,30,87042105,2,1,4,4,1,4,4,1/1/19,82,2.85714285714286
Autistica - Organisational Culture,30,71593024,1,4,1,4,1,4,1,1/1/19,83,2.28571428571429
Autistica - Organisational Culture,30,31866214,1,1,1,1,4,1,1,1/1/19,84,1.42857142857143
Autistica - Organisational Culture,30,97162166,2,4,1,1,4,1,4,1/1/19,85,2.42857142857143
Autistica - Organisational Culture,30,41273901,4,4,1,1,4,4,4,1/1/19,86,3.14285714285714
Autistica - Organisational Culture,30,43440948,1,1,4,4,4,4,4,1/1/19,87,3.14285714285714
Autistica - Organisational Culture,30,77705205,1,1,1,1,1,1,4,1/1/19,88,1.42857142857143
Autistica - Organisational Culture,30,58358243,2,1,1,1,4,1,4,1/1/19,89,2
Autistica - Organisational Culture,30,47815963,1,4,4,4,1,4,1,1/1/19,90,2.71428571428571
Autistica - Organisational Culture,30,69828639,4,4,1,4,4,1,4,1/1/19,91,3.14285714285714
Autistica - Organisational Culture,30,38868666,1,4,1,1,4,4,1,1/1/19,92,2.28571428571429
Autistica - Organisational Culture,30,72888018,2,1,1,4,1,4,1,1/1/19,93,2
Autistica - Organisational Culture,30,43522829,1,1,1,4,4,4,4,1/1/19,94,2.71428571428571
Autistica - Organisational Culture,30,41811454,1,1,1,1,1,4,4,1/1/19,95,1.85714285714286
Autistica - Organisational Culture,30,40690745,1,1,1,4,1,4,1,1/1/19,96,1.85714285714286
Autistica - Organisational Culture,30,25057429,1,1,4,4,4,1,4,1/1/19,97,2.71428571428571
Autistica - Organisational Culture,30,39249976,1,4,1,1,1,4,1,1/1/19,98,1.85714285714286
Autistica - Organisational Culture,30,63410382,1,1,4,4,1,4,1,1/1/19,99,2.28571428571429
Autistica - Organisational Culture,30,61657100,1,1,1,1,4,1,1,1/1/19,100,1.42857142857143
Autistica - Organisational Culture,30,22222222,1,4,4,4,1,4,4,1/14/19,101,3.14285714285714
Autistica - Organisational Culture,30,11111111,1,1,1,1,1,4,4,1/14/19,102,1.85714285714286
Autistica - Organisational Culture,30,12077101,1,4,4,1,4,1,1,1/14/19,103,2.28571428571429
Autistica - Organisational Culture,30,38961843,1,1,4,4,1,1,4,1/14/19,104,2.28571428571429
Autistica - Organisational Culture,30,67611589,2,4,4,1,4,1,1,1/14/19,105,2.42857142857143
Autistica - Organisational Culture,30,32500162,1,1,4,4,1,1,4,1/14/19,106,2.28571428571429
Autistica - Organisational Culture,30,90705766,1,1,1,4,4,1,4,1/14/19,107,2.28571428571429
Autistica - Organisational Culture,30,46465154,2,4,4,1,4,4,1,1/14/19,108,2.85714285714286
Autistica - Organisational Culture,30,36480781,4,1,4,4,4,4,1,1/14/19,109,3.14285714285714
Autistica - Organisational Culture,30,86004302,1,1,4,1,4,4,4,1/14/19,110,2.71428571428571
Autistica - Organisational Culture,30,74046800,2,4,4,4,4,4,1,1/14/19,111,3.28571428571429
Autistica - Organisational Culture,30,67512682,1,1,1,4,4,1,1,1/14/19,112,1.85714285714286
Autistica - Organisational Culture,30,87436666,2,4,1,4,1,4,1,1/14/19,113,2.42857142857143
Autistica - Organisational Culture,30,28755653,1,4,1,4,4,1,1,1/14/19,114,2.28571428571429
Autistica - Organisational Culture,30,66722819,2,4,1,4,1,1,4,1/14/19,115,2.42857142857143
Autistica - Organisational Culture,30,65438804,4,1,4,4,4,1,1,1/14/19,116,2.71428571428571
Autistica - Organisational Culture,30,15938146,2,1,1,4,4,1,4,1/14/19,117,2.42857142857143
Autistica - Organisational Culture,30,37603401,1,1,4,1,1,1,4,1/14/19,118,1.85714285714286
Autistica - Organisational Culture,30,23337145,4,4,1,4,4,4,4,1/14/19,119,3.57142857142857
Autistica - Organisational Culture,30,99599196,1,1,4,4,1,1,1,1/14/19,120,1.85714285714286
Autistica - Organisational Culture,30,25718877,1,1,4,1,4,1,1,1/14/19,121,1.85714285714286
Autistica - Organisational Culture,30,97909632,1,4,1,1,1,4,1,1/14/19,122,1.85714285714286
Autistica - Organisational Culture,30,40268226,1,4,1,4,4,1,4,1/14/19,123,2.71428571428571
Autistica - Organisational Culture,30,63985686,2,4,4,1,4,4,4,1/14/19,124,3.28571428571429
Autistica - Organisational Culture,30,63237915,1,4,4,1,1,4,4,1/14/19,125,2.71428571428571
Autistica - Organisational Culture,30,50544037,1,1,1,1,1,1,1,1/14/19,126,1
Autistica - Organisational Culture,30,14286843,1,1,1,1,4,1,4,1/14/19,127,1.85714285714286
Autistica - Organisational Culture,30,53175760,1,1,1,1,1,4,4,1/14/19,128,1.85714285714286
Autistica - Organisational Culture,30,56361261,4,4,1,4,1,1,1,1/14/19,129,2.28571428571429
Autistica - Organisational Culture,30,66411825,4,1,4,4,4,4,1,1/14/19,130,3.14285714285714
Autistica - Organisational Culture,30,34060153,4,4,1,1,1,1,1,1/14/19,131,1.85714285714286
Autistica - Organisational Culture,30,11168511,1,1,4,1,1,1,1,1/14/19,132,1.42857142857143
Autistica - Organisational Culture,30,85920205,1,1,4,4,4,1,4,1/14/19,133,2.71428571428571
Autistica - Organisational Culture,30,83766303,1,4,1,1,1,4,1,1/14/19,134,1.85714285714286
Autistica - Organisational Culture,30,64793738,2,4,4,4,1,4,1,1/14/19,135,2.85714285714286
Autistica - Organisational Culture,30,59096037,1,1,4,1,4,4,4,1/14/19,136,2.71428571428571
Autistica - Organisational Culture,30,77773077,1,1,4,4,1,4,1,1/14/19,137,2.28571428571429
Autistica - Organisational Culture,30,47375033,4,1,4,1,4,4,4,1/14/19,138,3.14285714285714
Autistica - Organisational Culture,30,39847852,2,4,4,4,1,1,1,1/14/19,139,2.42857142857143
Autistica - Organisational Culture,30,68971632,4,4,1,4,4,4,4,1/14/19,140,3.57142857142857
Autistica - Organisational Culture,30,22090963,1,4,1,4,1,4,4,1/14/19,141,2.71428571428571
Autistica - Organisational Culture,30,60377624,1,4,4,1,1,1,4,1/14/19,142,2.28571428571429
Autistica - Organisational Culture,30,30738880,1,4,1,1,4,1,1,1/14/19,143,1.85714285714286
Autistica - Organisational Culture,30,86589369,1,1,1,4,4,1,1,1/14/19,144,1.85714285714286
Autistica - Organisational Culture,30,66155821,2,4,1,4,1,1,1,1/14/19,145,2
Autistica - Organisational Culture,30,61677296,1,1,1,4,1,4,1,1/14/19,146,1.85714285714286
Autistica - Organisational Culture,30,56419454,2,4,4,1,1,4,1,1/14/19,147,2.42857142857143
Autistica - Organisational Culture,30,86397034,1,4,4,1,4,1,4,1/14/19,148,2.71428571428571
Autistica - Organisational Culture,30,41455969,2,1,1,1,4,4,4,1/14/19,149,2.42857142857143
Autistica - Organisational Culture,30,23394144,4,1,4,4,4,4,4,1/14/19,150,3.57142857142857
Autistica - Organisational Culture,30,21326904,2,1,4,4,1,4,4,1/14/19,151,2.85714285714286
Autistica - Organisational Culture,30,44980497,2,1,4,1,4,4,4,1/14/19,152,2.85714285714286
Autistica - Organisational Culture,30,38982647,2,1,1,1,4,1,4,1/14/19,153,2
Autistica - Organisational Culture,30,80484260,4,4,1,4,4,4,1,1/14/19,154,3.14285714285714
Autistica - Organisational Culture,30,24052776,2,1,1,4,1,4,1,1/14/19,155,2
Autistica - Organisational Culture,30,70538701,4,4,4,1,1,4,1,1/14/19,156,2.71428571428571
Autistica - Organisational Culture,30,89804580,1,4,1,1,4,4,4,1/14/19,157,2.71428571428571
Autistica - Organisational Culture,30,17191527,2,1,4,1,1,1,4,1/14/19,158,2
Autistica - Organisational Culture,30,12248148,2,1,4,1,1,4,4,1/14/19,159,2.42857142857143
Autistica - Organisational Culture,30,14567809,4,1,4,4,4,4,1,1/14/19,160,3.14285714285714
Autistica - Organisational Culture,30,53779464,4,1,4,1,4,4,1,1/14/19,161,2.71428571428571
Autistica - Organisational Culture,30,97777931,1,4,4,1,1,4,4,1/14/19,162,2.71428571428571
Autistica - Organisational Culture,30,99713717,1,1,1,4,1,4,1,1/14/19,163,1.85714285714286
Autistica - Organisational Culture,30,93466703,1,1,1,4,4,4,1,1/14/19,164,2.28571428571429
Autistica - Organisational Culture,30,37419497,1,1,1,4,1,4,1,1/14/19,165,1.85714285714286
Autistica - Organisational Culture,30,35358065,2,4,4,4,4,4,4,1/14/19,166,3.71428571428571
Autistica - Organisational Culture,30,86131995,1,1,1,4,4,1,1,1/14/19,167,1.85714285714286
Autistica - Organisational Culture,30,57180656,2,4,4,1,4,1,1,1/14/19,168,2.42857142857143
Autistica - Organisational Culture,30,62929404,2,4,1,1,4,4,4,1/14/19,169,2.85714285714286
Autistica - Organisational Culture,30,30901982,1,4,4,1,1,4,4,1/14/19,170,2.71428571428571
Autistica - Organisational Culture,30,93085379,4,4,1,4,4,4,1,1/14/19,171,3.14285714285714
Autistica - Organisational Culture,30,77431644,4,1,4,4,1,1,1,1/14/19,172,2.28571428571429
Autistica - Organisational Culture,30,67013133,2,4,4,4,1,4,1,1/14/19,173,2.85714285714286
Autistica - Organisational Culture,30,13838301,1,1,1,1,4,1,1,1/14/19,174,1.42857142857143
Autistica - Organisational Culture,30,66718298,1,4,1,1,1,1,4,1/14/19,175,1.85714285714286
Autistica - Organisational Culture,30,24641611,4,1,1,4,4,1,4,1/14/19,176,2.71428571428571
Autistica - Organisational Culture,30,67388864,4,1,4,1,4,1,1,1/14/19,177,2.28571428571429
Autistica - Organisational Culture,30,25055544,2,1,4,1,1,1,4,1/14/19,178,2
Autistica - Organisational Culture,30,24503298,4,1,1,4,1,1,4,1/14/19,179,2.28571428571429
Autistica - Organisational Culture,30,43928283,1,4,4,1,4,1,1,1/14/19,180,2.28571428571429
Autistica - Organisational Culture,30,19630284,4,4,4,4,4,1,4,1/14/19,181,3.57142857142857
Autistica - Organisational Culture,30,87042105,1,4,1,4,1,1,1,1/14/19,182,1.85714285714286
Autistica - Organisational Culture,30,71593024,1,4,4,1,4,1,1,1/14/19,183,2.28571428571429
Autistica - Organisational Culture,30,31866214,4,4,1,4,1,1,4,1/14/19,184,2.71428571428571
Autistica - Organisational Culture,30,97162166,1,4,4,1,4,1,4,1/14/19,185,2.71428571428571
Autistica - Organisational Culture,30,41273901,2,1,1,4,1,1,4,1/14/19,186,2
Autistica - Organisational Culture,30,43440948,2,1,4,4,1,1,1,1/14/19,187,2
Autistica - Organisational Culture,30,77705205,4,4,4,4,1,4,4,1/14/19,188,3.57142857142857
Autistica - Organisational Culture,30,58358243,1,1,4,1,4,4,1,1/14/19,189,2.28571428571429
Autistica - Organisational Culture,30,47815963,2,4,1,4,1,4,4,1/14/19,190,2.85714285714286
Autistica - Organisational Culture,30,69828639,1,4,1,4,1,4,4,1/14/19,191,2.71428571428571
Autistica - Organisational Culture,30,38868666,2,1,4,4,4,1,4,1/14/19,192,2.85714285714286
Autistica - Organisational Culture,30,72888018,1,1,4,4,1,1,4,1/14/19,193,2.28571428571429
Autistica - Organisational Culture,30,43522829,4,1,4,1,1,4,4,1/14/19,194,2.71428571428571
Autistica - Organisational Culture,30,41811454,1,4,4,4,1,1,1,1/14/19,195,2.28571428571429
Autistica - Organisational Culture,30,40690745,1,4,1,4,4,4,1,1/14/19,196,2.71428571428571
Autistica - Organisational Culture,30,25057429,2,4,1,1,1,1,1,1/14/19,197,1.57142857142857
Autistica - Organisational Culture,30,39249976,1,4,1,4,4,1,4,1/14/19,198,2.71428571428571
Autistica - Organisational Culture,30,63410382,1,4,1,1,1,1,1,1/14/19,199,1.42857142857143
Autistica - Organisational Culture,30,61657100,4,4,1,1,1,4,1,1/14/19,200,2.28571428571429
Autistica - Organisational Culture,30,22222222,4,4,4,1,4,4,1,1/30/19,201,3.14285714285714
Autistica - Organisational Culture,30,11111111,2,1,4,1,4,4,4,1/30/19,202,2.85714285714286
Autistica - Organisational Culture,30,12077101,4,1,1,1,4,4,4,1/30/19,203,2.71428571428571
Autistica - Organisational Culture,30,38961843,1,4,1,4,4,4,1,1/30/19,204,2.71428571428571
Autistica - Organisational Culture,30,67611589,1,1,1,1,1,1,4,1/30/19,205,1.42857142857143
Autistica - Organisational Culture,30,32500162,1,1,1,4,4,1,4,1/30/19,206,2.28571428571429
Autistica - Organisational Culture,30,90705766,1,4,1,1,4,1,1,1/30/19,207,1.85714285714286
Autistica - Organisational Culture,30,46465154,2,4,1,4,1,4,1,1/30/19,208,2.42857142857143
Autistica - Organisational Culture,30,36480781,4,4,4,1,1,1,4,1/30/19,209,2.71428571428571
Autistica - Organisational Culture,30,86004302,1,1,1,4,4,4,1,1/30/19,210,2.28571428571429
Autistica - Organisational Culture,30,74046800,4,1,1,1,4,1,4,1/30/19,211,2.28571428571429
Autistica - Organisational Culture,30,67512682,2,4,1,4,1,1,1,1/30/19,212,2
Autistica - Organisational Culture,30,87436666,2,4,4,4,1,4,1,1/30/19,213,2.85714285714286
Autistica - Organisational Culture,30,28755653,2,1,1,1,4,1,4,1/30/19,214,2
Autistica - Organisational Culture,30,66722819,2,4,4,4,1,1,4,1/30/19,215,2.85714285714286
Autistica - Organisational Culture,30,65438804,1,1,4,4,4,4,4,1/30/19,216,3.14285714285714
Autistica - Organisational Culture,30,15938146,1,1,4,1,4,4,4,1/30/19,217,2.71428571428571
Autistica - Organisational Culture,30,37603401,2,4,1,4,4,4,1,1/30/19,218,2.85714285714286
Autistica - Organisational Culture,30,23337145,4,1,1,1,1,4,1,1/30/19,219,1.85714285714286
Autistica - Organisational Culture,30,99599196,1,4,1,1,1,4,4,1/30/19,220,2.28571428571429
Autistica - Organisational Culture,30,25718877,1,4,4,4,4,1,4,1/30/19,221,3.14285714285714
Autistica - Organisational Culture,30,97909632,4,1,4,1,1,1,1,1/30/19,222,1.85714285714286
Autistica - Organisational Culture,30,40268226,1,1,1,4,1,1,1,1/30/19,223,1.42857142857143
Autistica - Organisational Culture,30,63985686,2,1,4,1,1,1,4,1/30/19,224,2
Autistica - Organisational Culture,30,63237915,1,4,1,4,1,1,4,1/30/19,225,2.28571428571429
Autistica - Organisational Culture,30,50544037,1,1,1,4,1,1,1,1/30/19,226,1.42857142857143
Autistica - Organisational Culture,30,14286843,1,4,4,4,4,1,1,1/30/19,227,2.71428571428571
Autistica - Organisational Culture,30,53175760,4,4,4,4,4,4,1,1/30/19,228,3.57142857142857
Autistica - Organisational Culture,30,56361261,1,4,4,4,1,1,4,1/30/19,229,2.71428571428571
Autistica - Organisational Culture,30,66411825,1,1,1,1,4,1,4,1/30/19,230,1.85714285714286
Autistica - Organisational Culture,30,34060153,1,4,1,1,1,4,1,1/30/19,231,1.85714285714286
Autistica - Organisational Culture,30,11168511,2,1,1,1,4,1,4,1/30/19,232,2
Autistica - Organisational Culture,30,85920205,4,1,1,4,4,1,1,1/30/19,233,2.28571428571429
Autistica - Organisational Culture,30,83766303,4,4,1,1,4,1,4,1/30/19,234,2.71428571428571
Autistica - Organisational Culture,30,64793738,1,4,4,1,1,4,4,1/30/19,235,2.71428571428571
Autistica - Organisational Culture,30,59096037,1,4,4,4,4,1,4,1/30/19,236,3.14285714285714
Autistica - Organisational Culture,30,77773077,4,4,4,4,4,1,4,1/30/19,237,3.57142857142857
Autistica - Organisational Culture,30,47375033,1,1,4,4,4,4,4,1/30/19,238,3.14285714285714
Autistica - Organisational Culture,30,39847852,2,1,1,4,1,4,4,1/30/19,239,2.42857142857143
Autistica - Organisational Culture,30,68971632,1,1,4,4,4,4,4,1/30/19,240,3.14285714285714
Autistica - Organisational Culture,30,22090963,1,4,4,4,4,1,1,1/30/19,241,2.71428571428571
Autistica - Organisational Culture,30,60377624,1,1,4,4,1,4,4,1/30/19,242,2.71428571428571
Autistica - Organisational Culture,30,30738880,1,1,4,4,4,4,4,1/30/19,243,3.14285714285714
Autistica - Organisational Culture,30,86589369,2,1,4,4,1,1,4,1/30/19,244,2.42857142857143
Autistica - Organisational Culture,30,66155821,1,1,4,4,4,4,1,1/30/19,245,2.71428571428571
Autistica - Organisational Culture,30,61677296,4,4,1,1,1,1,1,1/30/19,246,1.85714285714286
Autistica - Organisational Culture,30,56419454,1,4,1,1,1,4,1,1/30/19,247,1.85714285714286
Autistica - Organisational Culture,30,86397034,1,4,1,1,4,4,1,1/30/19,248,2.28571428571429
Autistica - Organisational Culture,30,41455969,1,1,4,1,4,1,1,1/30/19,249,1.85714285714286
Autistica - Organisational Culture,30,23394144,1,1,4,4,4,4,1,1/30/19,250,2.71428571428571
Autistica - Organisational Culture,30,21326904,2,1,1,1,4,4,4,1/30/19,251,2.42857142857143
Autistica - Organisational Culture,30,44980497,1,1,1,4,1,4,4,1/30/19,252,2.28571428571429
Autistica - Organisational Culture,30,38982647,1,4,1,1,1,1,1,1/30/19,253,1.42857142857143
Autistica - Organisational Culture,30,80484260,1,1,1,1,1,4,4,1/30/19,254,1.85714285714286
Autistica - Organisational Culture,30,24052776,1,1,4,1,4,1,4,1/30/19,255,2.28571428571429
Autistica - Organisational Culture,30,70538701,4,4,1,4,4,1,1,1/30/19,256,2.71428571428571
Autistica - Organisational Culture,30,89804580,2,4,1,1,1,4,1,1/30/19,257,2
Autistica - Organisational Culture,30,17191527,4,4,1,1,4,1,4,1/30/19,258,2.71428571428571
Autistica - Organisational Culture,30,12248148,1,1,4,1,1,1,4,1/30/19,259,1.85714285714286
Autistica - Organisational Culture,30,14567809,1,4,4,1,4,4,1,1/30/19,260,2.71428571428571
Autistica - Organisational Culture,30,53779464,1,4,1,4,4,1,1,1/30/19,261,2.28571428571429
Autistica - Organisational Culture,30,97777931,4,1,1,1,4,4,1,1/30/19,262,2.28571428571429
Autistica - Organisational Culture,30,99713717,4,4,1,1,1,1,4,1/30/19,263,2.28571428571429
Autistica - Organisational Culture,30,93466703,4,1,1,4,4,1,4,1/30/19,264,2.71428571428571
Autistica - Organisational Culture,30,37419497,4,4,4,1,1,4,1,1/30/19,265,2.71428571428571
Autistica - Organisational Culture,30,35358065,4,4,1,4,1,4,1,1/30/19,266,2.71428571428571
Autistica - Organisational Culture,30,86131995,1,4,4,4,4,1,4,1/30/19,267,3.14285714285714
Autistica - Organisational Culture,30,57180656,1,1,1,4,4,1,1,1/30/19,268,1.85714285714286
Autistica - Organisational Culture,30,62929404,2,1,4,1,4,4,1,1/30/19,269,2.42857142857143
Autistica - Organisational Culture,30,30901982,2,1,4,1,4,4,4,1/30/19,270,2.85714285714286
Autistica - Organisational Culture,30,93085379,1,1,1,1,4,1,1,1/30/19,271,1.42857142857143
Autistica - Organisational Culture,30,77431644,1,1,4,4,4,4,1,1/30/19,272,2.71428571428571
Autistica - Organisational Culture,30,67013133,1,1,1,4,4,1,4,1/30/19,273,2.28571428571429
Autistica - Organisational Culture,30,13838301,2,1,1,4,4,1,1,1/30/19,274,2
Autistica - Organisational Culture,30,66718298,4,1,1,1,1,4,4,1/30/19,275,2.28571428571429
Autistica - Organisational Culture,30,24641611,1,4,4,1,4,4,1,1/30/19,276,2.71428571428571
Autistica - Organisational Culture,30,67388864,1,4,1,4,4,1,1,1/30/19,277,2.28571428571429
Autistica - Organisational Culture,30,25055544,1,4,4,1,4,4,1,1/30/19,278,2.71428571428571
Autistica - Organisational Culture,30,24503298,4,4,4,1,1,1,4,1/30/19,279,2.71428571428571
