FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,Date GMT,ID,Learning,Problem solving,Pressure,Role expectations,Teamwork,Sensitivity,Work politics,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,15th July 2019 9:16 am,15th July 2019 9:16 am,473,2.5,2.83333333333333,2,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,1,1,4,12th July 2019 9:16 am,12th July 2019 9:16 am,468,3.75,3.83333333333333,3.5,4,4.25,3.5,3.5,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,2,2,10th July 2019 9:16 am,10th July 2019 9:16 am,463,2.75,2.5,2.5,2.5,1.75,2.75,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,3,5,9th July 2019 9:16 am,9th July 2019 9:16 am,458,3.25,3.83333333333333,4.25,3.25,2.25,3.25,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,5,2,4th July 2019 9:16 am,4th July 2019 9:16 am,453,2.25,2.83333333333333,1.25,2.5,2.75,3,3.75,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,2,4,1st July 2019 9:16 am,1st July 2019 9:16 am,448,4.75,3.83333333333333,3.75,4,4.25,3.75,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,1,2,22nd June 2019 9:16 am,22nd June 2019 9:16 am,443,2,2.5,3,2.5,1.75,2.5,1.5,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,1,3,2,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,1,5,5,20th June 2019 9:16 am,20th June 2019 9:16 am,438,3,3.83333333333333,3.5,3.25,2.25,3.75,3.75,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,5,2,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,18th June 2019 9:16 am,18th June 2019 9:16 am,433,3.25,2.83333333333333,1.5,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,2,4,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,2,4,15th June 2019 9:16 am,15th June 2019 9:16 am,428,4,3.83333333333333,4.25,4,4.25,3.75,3.25,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,1,3,2,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,1,3,2,12th June 2019 9:16 am,12th June 2019 9:16 am,423,1.75,2.5,2.25,2.5,1.75,3,1.75,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,5,5,10th June 2019 9:16 am,10th June 2019 9:16 am,418,4,3.83333333333333,3.75,3.25,2.25,3.75,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,3,2,9th June 2019 9:16 am,9th June 2019 9:16 am,413,2.5,2.83333333333333,2,2.5,2.75,2.5,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,1,2,4,4th June 2019 9:16 am,4th June 2019 9:16 am,408,3.75,3.83333333333333,3.5,4,4.25,3.75,3.5,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,1,2,1st June 2019 9:16 am,1st June 2019 9:16 am,403,2.75,2.5,2.5,2.5,1.75,2.5,1.5,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,2,5,22nd May 2019 9:16 am,22nd May 2019 9:16 am,398,3.25,3.83333333333333,4.25,3.25,2.25,3,3.5,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,2,2,20th May 2019 9:16 am,20th May 2019 9:16 am,393,2.25,2.83333333333333,1.25,2.5,2.75,2.25,3.75,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,2,4,18th May 2019 9:16 am,18th May 2019 9:16 am,388,4.75,3.83333333333333,3.75,4,4.25,3.75,3.25,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,1,2,15th May 2019 9:16 am,15th May 2019 9:16 am,383,2,2.5,3,2.5,1.75,2.5,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,1,3,2,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,1,2,5,12th May 2019 9:16 am,12th May 2019 9:16 am,378,3,3.83333333333333,3.5,3.25,2.25,3,3.75,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,5,2,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,3,2,10th May 2019 9:16 am,10th May 2019 9:16 am,373,3.25,2.83333333333333,1.5,2.5,2.75,2.5,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,2,4,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,5,4,9th May 2019 9:16 am,9th May 2019 9:16 am,368,4,3.83333333333333,4.25,4,4.25,4.5,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,1,3,2,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,1,2,2,4th May 2019 9:16 am,4th May 2019 9:16 am,363,1.75,2.5,2.25,2.5,1.75,2.75,1.75,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,1,5,1st May 2019 9:16 am,1st May 2019 9:16 am,358,4,3.83333333333333,3.75,3.25,2.25,2.75,3.5,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,5,2,22nd April 2019 9:16 am,22nd April 2019 9:16 am,353,2.5,2.83333333333333,2,2.5,2.75,3,3.5,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,1,2,4,20th April 2019 9:16 am,20th April 2019 9:16 am,348,3.75,3.83333333333333,3.5,4,4.25,3.75,3.5,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,2,2,18th April 2019 9:16 am,18th April 2019 9:16 am,343,2.75,2.5,2.5,2.5,1.75,2.75,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,3,5,15th April 2019 9:16 am,15th April 2019 9:16 am,338,3.25,3.83333333333333,4.25,3.25,2.25,3.25,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,5,2,12th April 2019 9:16 am,12th April 2019 9:16 am,333,2.25,2.83333333333333,1.25,2.5,2.75,3,3.75,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,3,4,10th April 2019 9:16 am,10th April 2019 9:16 am,328,4.75,3.83333333333333,3.75,4,4.25,4,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,2,2,9th April 2019 9:16 am,9th April 2019 9:16 am,323,2,2.5,3,2.5,1.75,2.75,1.5,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,1,3,2,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,1,1,5,4th April 2019 9:16 am,4th April 2019 9:16 am,318,3,3.83333333333333,3.5,3.25,2.25,2.75,3.75,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,5,2,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,1st April 2019 9:16 am,1st April 2019 9:16 am,313,3.25,2.83333333333333,1.5,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,2,4,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,2,4,22nd March 2019 9:16 am,22nd March 2019 9:16 am,308,4,3.83333333333333,4.25,4,4.25,3.75,3.25,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,1,3,2,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,1,2,2,20th March 2019 9:16 am,20th March 2019 9:16 am,303,1.75,2.5,2.25,2.5,1.75,2.75,1.75,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,1,5,18th March 2019 9:16 am,18th March 2019 9:16 am,298,4,3.83333333333333,3.75,3.25,2.25,2.75,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,15th March 2019 9:16 am,15th March 2019 9:16 am,293,2.5,2.83333333333333,2,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,1,3,4,12th March 2019 9:16 am,12th March 2019 9:16 am,288,3.75,3.83333333333333,3.5,4,4.25,4,3.5,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,5,2,10th March 2019 9:16 am,10th March 2019 9:16 am,283,2.75,2.5,2.5,2.5,1.75,3.5,1.5,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,2,5,9th March 2019 9:16 am,9th March 2019 9:16 am,278,3.25,3.83333333333333,4.25,3.25,2.25,3,3.5,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,1,2,4th March 2019 9:16 am,4th March 2019 9:16 am,273,2.25,2.83333333333333,1.25,2.5,2.75,2,3.75,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,5,4,1st March 2019 9:16 am,1st March 2019 9:16 am,268,4.75,3.83333333333333,3.75,4,4.25,4.5,3.25,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,2,2,22nd February 2019 9:16 am,22nd February 2019 9:16 am,263,2,2.5,3,2.5,1.75,2.75,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,1,3,2,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,1,2,5,20th February 2019 9:16 am,20th February 2019 9:16 am,258,3,3.83333333333333,3.5,3.25,2.25,3,3.75,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,5,2,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,3,2,18th February 2019 9:16 am,18th February 2019 9:16 am,253,3.25,2.83333333333333,1.5,2.5,2.75,2.5,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,2,4,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,5,4,15th February 2019 9:16 am,15th February 2019 9:16 am,248,4,3.83333333333333,4.25,4,4.25,4.5,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,1,3,2,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,1,3,2,12th February 2019 9:16 am,12th February 2019 9:16 am,243,1.75,2.5,2.25,2.5,1.75,3,1.75,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,2,5,10th February 2019 9:16 am,10th February 2019 9:16 am,238,4,3.83333333333333,3.75,3.25,2.25,3,3.5,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,1,2,9th February 2019 9:16 am,9th February 2019 9:16 am,233,2.5,2.83333333333333,2,2.5,2.75,2,3.5,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,1,2,4,9th February 2019 9:16 am,9th February 2019 9:16 am,228,3.75,3.83333333333333,3.5,4,4.25,3.75,3.5,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,2,2,9th February 2019 9:16 am,9th February 2019 9:16 am,223,2.75,2.5,2.5,2.5,1.75,2.75,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,2,5,9th February 2019 9:16 am,9th February 2019 9:16 am,218,3.25,3.83333333333333,4.25,3.25,2.25,3,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,1,2,4th February 2019 9:16 am,4th February 2019 9:16 am,213,2.25,2.83333333333333,1.25,2.5,2.75,2,3.75,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,2,4,4th February 2019 9:16 am,4th February 2019 9:16 am,208,4.75,3.83333333333333,3.75,4,4.25,3.75,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,3,2,4th February 2019 9:16 am,4th February 2019 9:16 am,203,2,2.5,3,2.5,1.75,3,1.5,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,1,3,2,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,1,5,5,4th February 2019 9:16 am,4th February 2019 9:16 am,198,3,3.83333333333333,3.5,3.25,2.25,3.75,3.75,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,5,2,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,1st February 2019 9:16 am,1st February 2019 9:16 am,193,3.25,2.83333333333333,1.5,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,2,4,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,1,4,1st February 2019 9:16 am,1st February 2019 9:16 am,188,4,3.83333333333333,4.25,4,4.25,3.5,3.25,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,1,3,2,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,1,5,2,1st February 2019 9:16 am,1st February 2019 9:16 am,183,1.75,2.5,2.25,2.5,1.75,3.5,1.75,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,2,5,22nd January 2019 9:16 am,22nd January 2019 9:16 am,178,4,3.83333333333333,3.75,3.25,2.25,3,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,22nd January 2019 9:16 am,22nd January 2019 9:16 am,173,2.5,2.83333333333333,2,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,1,3,4,22nd January 2019 9:16 am,22nd January 2019 9:16 am,168,3.75,3.83333333333333,3.5,4,4.25,4,3.5,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,5,2,20th January 2019 9:16 am,20th January 2019 9:16 am,163,2.75,2.5,2.5,2.5,1.75,3.5,1.5,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,3,5,20th January 2019 9:16 am,20th January 2019 9:16 am,158,3.25,3.83333333333333,4.25,3.25,2.25,3.25,3.5,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,2,2,20th January 2019 9:16 am,20th January 2019 9:16 am,153,2.25,2.83333333333333,1.25,2.5,2.75,2.25,3.75,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,3,5,5,5,4,5,3,1,4,20th January 2019 9:16 am,20th January 2019 9:16 am,148,4.75,4,3.75,4,4.25,3.5,3.25,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,2,2,18th January 2019 9:16 am,18th January 2019 9:16 am,143,2,2.5,3,2.5,1.75,2.75,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,1,3,2,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,1,2,5,18th January 2019 9:16 am,18th January 2019 9:16 am,138,3,3.83333333333333,3.5,3.25,2.25,3,3.75,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,5,2,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,2,2,18th January 2019 9:16 am,18th January 2019 9:16 am,133,3.25,2.83333333333333,1.5,2.5,2.75,2.25,3.5,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,2,4,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,1,4,18th January 2019 9:16 am,18th January 2019 9:16 am,128,4,3.83333333333333,4.25,4,4.25,3.5,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,1,3,2,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,1,2,2,12th January 2019 9:16 am,12th January 2019 9:16 am,123,1.75,2.5,2.25,2.5,1.75,2.75,1.75,
Autistica - Work: Self Confidence,120,32500162,2,4,3,4,5,2,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,3,5,12th January 2019 9:16 am,12th January 2019 9:16 am,118,4,3.83333333333333,3.75,3.25,2.25,3.25,3.5,
Autistica - Work: Self Confidence,120,90705766,1,4,5,3,2,4,1,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,3,5,2,12th January 2019 9:16 am,12th January 2019 9:16 am,113,2.5,2.83333333333333,2,2.5,2.75,3,3.5,
Autistica - Work: Self Confidence,120,46465154,5,4,4,5,1,3,2,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,1,2,4,12th January 2019 9:16 am,12th January 2019 9:16 am,108,3.75,3.83333333333333,3.5,4,4.25,3.75,3.5,
Autistica - Work: Self Confidence,120,22222222,3,1,2,1,5,2,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,1,2,10th January 2019 9:16 am,10th January 2019 9:16 am,103,2.75,2.5,2.5,2.5,1.75,2.5,1.5,
Autistica - Work: Self Confidence,120,11111111,2,4,3,4,2,4,1,2,3,4,5,4,3,2,3,4,5,,5,5,5,5,4,2,1,4,5,3,5,5,10th January 2019 9:16 am,10th January 2019 9:16 am,98,3.25,3.83333333333333,4.25,3.25,2.25,3.75,3.5,
Autistica - Work: Self Confidence,120,12077101,1,4,5,3,1,3,2,4,2,1,,5,1,2,3,5,1,1,5,1,2,3,5,4,1,2,4,1,2,2,10th January 2019 9:16 am,10th January 2019 9:16 am,93,2.25,2.83333333333333,1.25,2.5,2.75,2.25,3.75,
Autistica - Work: Self Confidence,120,38961843,5,4,4,5,5,2,1,5,3,4,5,4,5,3,3,4,5,4,3,5,4,2,5,5,5,4,5,3,2,4,10th January 2019 9:16 am,10th January 2019 9:16 am,88,4.75,3.83333333333333,3.75,4,4.25,3.75,3.25,
Autistica - Work: Self Confidence,120,67611589,3,1,2,1,2,4,1,1,3,2,4,3,2,4,3,5,1,3,1,1,2,3,2,1,1,2,4,3,3,2,4th January 2019 9:16 am,4th January 2019 9:16 am,83,2,2.5,3,2.5,1.75,3,1.5,
