FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID,Learning,Problemsolving,Pressure,Roleexpectations,Teamwork,Sensitivity,Workpolitics
Autistica - Work: Self Confidence,120,40268226,2,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,3,2,2,3,01/01/2019,23,2.75,2.666666667,2.25,2.75,2.75,2.5,3
Autistica - Work: Self Confidence,120,63985686,2,3,3,2,2,2,3,3,3,2,2,3,2,2,3,2,2,2,2,3,3,2,3,2,2,3,3,2,2,2,01/01/2019,24,2.5,2.166666667,2.25,2.75,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,63237915,2,2,3,2,2,3,2,2,3,3,3,2,2,3,3,3,2,3,2,2,3,3,3,2,2,3,3,3,3,3,01/01/2019,25,2.5,2.666666667,2.75,2.75,2.25,3,2
Autistica - Work: Self Confidence,120,50544037,2,2,2,2,3,3,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,3,2,2,3,3,3,01/01/2019,26,2.75,2.333333333,3,2.25,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,14286843,2,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,2,2,2,3,01/01/2019,27,2.75,2.833333333,2.75,2.5,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,53175760,3,2,2,2,2,2,3,3,3,2,3,3,3,3,2,2,2,2,3,3,2,3,2,2,2,3,2,3,2,3,01/01/2019,28,2.5,2.166666667,2.75,2.5,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,56361261,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,2,01/01/2019,29,2.5,2.833333333,2.75,2.25,3,2.75,2.75
Autistica - Work: Self Confidence,120,66411825,3,3,3,3,2,3,2,2,3,3,2,2,2,3,3,3,2,3,2,3,2,3,2,2,3,3,2,2,3,3,01/01/2019,30,2.25,2.666666667,2.5,2.75,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,34060153,2,3,2,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,3,3,01/01/2019,31,2,2.166666667,2.5,2.25,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,11168511,3,2,2,2,3,3,2,2,2,3,2,2,2,3,3,2,3,3,3,2,3,3,3,2,3,2,3,3,3,3,01/01/2019,32,2.5,2.666666667,2.5,2.5,2.5,3,2.25
Autistica - Work: Self Confidence,120,85920205,3,2,3,2,3,2,3,3,2,2,2,3,3,3,2,2,3,2,2,3,3,3,2,2,2,3,2,3,3,2,01/01/2019,33,2.75,2.333333333,2.5,2.75,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,83766303,2,3,3,2,3,3,2,3,3,2,2,2,3,2,3,2,3,3,2,2,3,3,2,3,2,3,3,2,3,2,01/01/2019,34,2.75,2.666666667,2.25,2.75,2.5,2.75,2
Autistica - Work: Self Confidence,120,64793738,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,2,3,2,2,2,2,3,2,3,2,3,2,2,01/01/2019,35,2.5,2.333333333,2.25,2,2,2,3
Autistica - Work: Self Confidence,120,59096037,3,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,2,3,3,3,2,3,01/01/2019,36,2.75,2.5,2.5,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,77773077,3,3,2,3,2,2,2,3,3,3,2,2,2,3,2,2,2,3,3,2,3,3,3,2,2,3,3,3,2,2,01/01/2019,37,2.5,2.333333333,2.25,2.75,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,47375033,2,2,2,2,3,3,2,3,3,2,2,2,3,2,2,2,3,3,2,3,3,3,3,3,3,2,2,2,2,3,01/01/2019,38,2.75,2.5,2.5,2.5,2.5,2.5,2
Autistica - Work: Self Confidence,120,39847852,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,3,3,3,2,2,01/01/2019,39,2.75,2.666666667,3,2.5,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,68971632,2,2,3,3,3,3,2,3,2,3,2,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,3,2,3,2,01/01/2019,40,2.5,2.666666667,2.25,2.5,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,22090963,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,2,2,2,3,3,3,2,3,3,2,3,3,3,2,3,01/01/2019,41,3,2.333333333,2.75,2.75,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,60377624,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,2,2,2,2,3,2,2,2,3,2,01/01/2019,42,2.5,2.333333333,2.75,2.5,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,30738880,2,3,2,3,3,3,3,2,3,2,2,2,3,3,2,3,2,3,3,2,2,2,3,3,2,3,2,2,3,3,01/01/2019,43,3,2.333333333,2.25,2.25,2.5,2.75,2.75
Autistica - Work: Self Confidence,120,86589369,2,2,3,2,2,2,3,2,3,3,3,3,2,3,2,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,01/01/2019,44,2.25,2.5,2.5,2.5,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,66155821,3,2,2,3,3,2,3,3,3,2,3,3,2,2,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,01/01/2019,45,2.25,2.5,2.5,2.75,2.25,2,2.75
Autistica - Work: Self Confidence,120,61677296,2,2,3,3,3,2,3,2,2,3,2,2,3,3,2,3,3,3,2,3,3,3,3,2,3,2,2,2,3,2,01/01/2019,46,2.75,2.666666667,2.25,2.5,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,56419454,2,3,3,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,2,2,2,3,3,2,3,3,3,3,2,2,01/01/2019,47,2.5,2.5,2.5,2.25,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,86397034,2,3,3,3,2,3,3,3,2,2,2,2,3,2,3,2,3,2,3,3,3,3,2,3,3,3,3,2,2,3,01/01/2019,48,2.5,2.666666667,2.5,2.5,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,41455969,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,2,3,2,2,2,2,01/01/2019,49,2.75,3,2.5,2.25,2.5,2,2.5
Autistica - Work: Self Confidence,120,23394144,2,3,3,2,2,3,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,2,2,2,2,01/01/2019,50,2.75,2.833333333,2.75,2.25,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,21326904,3,3,2,3,2,2,2,3,3,3,2,3,3,3,3,2,3,2,3,2,3,3,2,2,2,2,3,2,2,3,01/01/2019,51,2.25,2.666666667,2,2.75,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,44980497,2,2,3,3,2,3,3,2,3,3,2,2,2,3,2,2,3,2,3,2,3,2,3,3,3,2,2,2,3,3,01/01/2019,52,2.25,2.5,2.25,2.75,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,38982647,1,2,3,3,3,3,2,3,2,2,3,3,2,2,2,3,2,2,2,2,3,3,3,3,2,3,3,3,2,2,01/01/2019,53,2.75,2.5,2.75,2.25,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,80484260,3,2,3,3,3,3,3,3,2,3,2,3,3,2,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,2,01/01/2019,54,2.75,2.833333333,2.5,2.75,2.5,2.5,3
Autistica - Work: Self Confidence,120,24052776,1,3,3,2,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,01/01/2019,55,2.75,2.5,2.25,2.25,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,70538701,1,2,2,3,3,2,3,3,3,3,2,3,3,2,2,3,3,2,3,2,2,3,2,2,3,3,2,2,2,3,01/01/2019,56,2.75,2.666666667,2,2,2.5,2.25,3
Autistica - Work: Self Confidence,120,89804580,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,2,2,01/01/2019,57,2.75,2.833333333,2.75,2.5,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,17191527,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,2,3,3,3,2,3,2,2,3,2,2,2,2,3,3,01/01/2019,58,2,2.5,2.25,2.25,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,12248148,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,2,2,3,2,3,3,2,3,3,2,3,2,3,2,3,01/01/2019,59,2.75,2.333333333,3,2.25,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,14567809,2,3,2,3,2,3,2,3,3,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,2,3,3,01/01/2019,60,2,2.166666667,2.5,2.25,2.75,2.75,2.75
Autistica - Work: Self Confidence,120,53779464,2,3,3,2,2,2,3,2,2,2,3,3,2,2,2,3,2,3,3,2,2,3,2,3,3,3,3,2,3,3,01/01/2019,61,2.25,2.5,2.25,2.25,2.5,3,2.75
Autistica - Work: Self Confidence,120,97777931,2,2,2,3,3,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,2,3,3,2,2,3,01/01/2019,62,2.75,2.5,2.25,2.25,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,99713717,1,3,2,3,3,2,2,2,3,3,2,3,2,3,2,2,2,3,2,3,2,3,3,3,3,2,3,3,3,3,01/01/2019,63,2.5,2.5,2.5,2,2.75,3,2.5
Autistica - Work: Self Confidence,120,93466703,3,3,2,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,3,2,2,3,3,3,3,3,2,2,3,01/01/2019,64,3,2.333333333,2.5,2.25,2.5,2.5,2
Autistica - Work: Self Confidence,120,37419497,2,2,3,3,3,2,2,2,2,2,3,2,3,2,2,3,3,3,3,3,2,2,3,2,3,2,3,2,2,3,01/01/2019,65,2.75,2.333333333,2.5,2.25,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,35358065,2,2,2,3,2,2,3,2,3,2,2,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,01/01/2019,66,2.5,2.5,2.5,2.25,2.25,3,3
Autistica - Work: Self Confidence,120,86131995,2,3,3,3,2,3,2,2,3,2,3,2,2,2,2,3,2,3,3,3,2,3,2,2,2,2,3,2,2,3,01/01/2019,67,2,2.333333333,2.75,2.5,2.25,2.75,2.5
Autistica - Work: Self Confidence,120,57180656,3,3,3,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2,2,3,2,2,2,01/01/2019,68,2.25,2.666666667,2.5,3,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,62929404,2,3,3,2,3,3,2,3,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,2,3,2,2,2,01/01/2019,69,2.75,2.5,2.75,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,30901982,2,3,3,3,2,2,3,3,2,2,3,3,2,2,2,3,2,2,3,3,2,3,2,2,3,2,2,2,3,2,01/01/2019,70,2,2.333333333,2.5,2.25,2.75,2.25,3
Autistica - Work: Self Confidence,120,93085379,3,2,3,3,2,2,2,3,2,2,2,3,2,3,2,3,3,2,2,3,3,2,2,2,2,3,3,3,2,3,01/01/2019,71,2.25,2.333333333,2.5,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,77431644,3,2,2,2,2,2,3,3,3,3,3,2,2,3,2,3,3,3,2,2,3,2,2,3,2,2,2,3,2,2,01/01/2019,72,2,2.666666667,2.5,2.75,2.5,2.25,2.25
Autistica - Work: Self Confidence,120,67013133,3,2,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,3,3,2,2,2,2,3,2,3,3,3,3,3,01/01/2019,73,2.75,2.5,2.75,2.5,2,3,2.75
Autistica - Work: Self Confidence,120,13838301,3,2,2,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2,3,3,3,3,2,2,3,2,2,2,2,3,01/01/2019,74,2.25,2.333333333,2.25,2.75,2.5,2.25,2.5
Autistica - Work: Self Confidence,120,66718298,3,2,3,2,2,3,3,3,2,3,3,3,2,2,3,3,2,2,2,2,3,2,2,2,3,3,3,3,3,2,01/01/2019,75,2.25,2.5,2.75,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,24641611,1,3,2,2,3,3,3,2,2,3,3,3,3,2,2,2,2,3,2,3,2,3,3,2,3,2,2,2,3,3,01/01/2019,76,2.75,2.333333333,2.75,1.75,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,67388864,2,2,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,2,3,2,3,3,01/01/2019,77,2.5,2.833333333,2.75,2.5,2.25,3,2.5
Autistica - Work: Self Confidence,120,25055544,3,3,2,2,2,2,2,3,3,2,3,2,3,2,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,2,01/01/2019,78,2.25,2.666666667,2.5,2.5,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,24503298,1,2,3,2,2,3,3,3,3,3,2,3,3,2,3,2,3,3,2,2,3,2,2,2,2,3,2,3,2,2,01/01/2019,79,2.5,2.5,2.5,2.5,2.25,2.25,2.5
Autistica - Work: Self Confidence,120,43928283,3,3,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,3,3,2,3,2,3,2,2,3,2,3,2,3,01/01/2019,80,2.75,2.166666667,2.25,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,19630284,1,2,3,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,01/01/2019,81,2.5,2.166666667,2.75,2.25,2.25,2,2.5
Autistica - Work: Self Confidence,120,87042105,2,2,3,2,2,3,3,2,3,2,2,3,3,2,2,3,3,2,3,3,3,2,3,3,3,3,2,3,2,2,01/01/2019,82,2.75,2.5,2.75,2.75,2.25,2,2.75
Autistica - Work: Self Confidence,120,71593024,1,2,2,2,3,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,3,3,01/01/2019,83,2.25,2.333333333,2.25,2,2.25,2.5,2.25
Autistica - Work: Self Confidence,120,31866214,1,3,2,2,2,2,2,2,3,2,2,3,2,3,2,2,3,3,3,2,2,3,3,3,3,2,2,3,2,2,01/01/2019,84,2.25,2.5,2.25,2,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,97162166,2,3,3,2,2,2,2,3,2,3,3,2,3,2,2,3,3,2,3,2,3,2,2,2,2,2,3,3,3,3,01/01/2019,85,2.25,2.5,2.5,2.5,2.5,2.75,2.25
Autistica - Work: Self Confidence,120,41273901,5,2,2,3,3,2,2,3,3,2,2,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2,3,3,2,3,01/01/2019,86,2.25,2.5,2.25,3.25,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,43440948,5,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,01/01/2019,87,2.25,2.5,2.75,3.5,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,77705205,3,3,3,3,2,2,2,3,3,2,3,2,2,3,3,2,2,2,2,3,3,3,3,2,2,3,3,3,2,3,01/01/2019,88,2.5,2.333333333,2.75,3,2.75,2.5,2.25
Autistica - Work: Self Confidence,120,58358243,3,2,3,3,2,2,2,2,2,2,3,3,2,3,3,2,2,2,3,3,3,2,3,2,3,2,3,3,2,2,01/01/2019,89,2.25,2.166666667,2.75,2.75,2.5,2.25,2.75
Autistica - Work: Self Confidence,120,47815963,1,2,2,3,2,3,3,2,2,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2,3,3,2,01/01/2019,90,2.75,2.666666667,2.75,1.75,2,2.5,3
Autistica - Work: Self Confidence,120,69828639,3,2,3,3,3,2,2,3,2,3,3,2,2,2,2,3,3,3,3,2,3,2,3,2,3,2,3,2,3,2,01/01/2019,91,2.5,2.5,2.25,2.75,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,38868666,1,3,2,2,3,3,3,3,3,2,3,3,2,2,3,2,3,2,2,2,3,2,3,2,3,2,2,2,2,3,01/01/2019,92,2.5,2.333333333,2.5,2.25,2.75,2.25,2.5
Autistica - Work: Self Confidence,120,72888018,1,3,3,3,3,2,2,2,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,2,3,2,3,3,3,2,01/01/2019,93,2.5,2.333333333,2.5,2.5,2.5,2.75,2.5
Autistica - Work: Self Confidence,120,43522829,5,2,2,3,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,2,2,2,3,2,3,3,3,2,3,3,01/01/2019,94,2.75,2.5,2,3,2.25,3,3
Autistica - Work: Self Confidence,120,41811454,2,3,2,2,2,3,2,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,3,3,3,3,2,3,3,01/01/2019,95,2.25,2.833333333,2.5,2,2.75,3,2.5
Autistica - Work: Self Confidence,120,40690745,5,3,2,2,2,2,2,3,3,3,3,2,2,3,2,2,2,3,3,2,2,3,3,3,2,3,3,2,3,2,01/01/2019,96,2.5,2.5,2.25,3,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,25057429,1,3,3,3,2,2,2,2,3,3,3,3,2,2,3,3,2,3,3,2,2,2,3,2,3,3,3,3,2,2,01/01/2019,97,2.5,2.5,2.5,2.25,2.5,2.5,2.75
Autistica - Work: Self Confidence,120,39249976,1,2,2,3,2,3,3,2,3,3,3,3,3,3,2,3,3,2,2,3,2,2,3,3,3,2,2,2,2,2,01/01/2019,98,2.5,2.666666667,2.75,2,2.5,2,2.75
Autistica - Work: Self Confidence,120,63410382,5,3,2,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2,01/01/2019,99,2.75,2.5,2,3,2.75,2.5,2.75
Autistica - Work: Self Confidence,120,61657100,1,2,3,2,3,2,2,2,3,3,2,2,3,2,3,2,3,2,2,2,2,3,3,2,2,2,2,3,3,2,01/01/2019,100,2.75,2.666666667,2.25,2.25,2,2.25,2
Autistica - Work: Self Confidence,120,22222222,5,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,3,2,3,2,3,2,2,2,3,2,3,3,2,1/14/19,101,2.75,2.5,2.75,2.75,2,2.5,2
Autistica - Work: Self Confidence,120,11111111,1,3,2,2,2,2,2,3,2,3,2,2,2,2,2,3,3,2,3,2,3,2,3,3,3,2,2,3,2,2,1/14/19,102,2.25,2.666666667,2.25,2,2.75,2,2.25
Autistica - Work: Self Confidence,120,12077101,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,2,2,2,3,2,2,2,1/14/19,103,2.25,2.5,2.5,2,2.25,2.5,2.5
Autistica - Work: Self Confidence,120,38961843,3,3,3,2,2,2,2,2,3,3,3,3,2,3,3,2,2,2,3,2,2,2,3,3,3,2,3,2,3,2,1/14/19,104,2.25,2.5,2.25,2.75,2.75,2.5,2.5
Autistica - Work: Self Confidence,120,67611589,5,3,2,3,2,3,2,3,2,2,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,3,2,2,2,1/14/19,105,2.25,2.5,2.25,3,2.75,2.25,2.75
Autistica - Work: Self Confidence,120,32500162,2,2,3,3,3,3,2,2,3,3,2,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,3,3,2,1/14/19,106,2.75,2.833333333,2.75,2.75,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,90705766,3,3,3,3,2,3,3,3,2,2,3,2,3,2,3,3,3,2,2,2,2,3,2,2,2,3,2,2,3,3,1/14/19,107,2.5,2.666666667,2.5,2.5,2.5,2.5,2.5
Autistica - Work: Self Confidence,120,46465154,2,3,3,2,3,3,3,3,2,3,2,2,3,3,2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,1/14/19,108,3,2.666666667,2.5,2.25,2.75,2.75,2.25
Autistica - Work: Self Confidence,120,36480781,2,3,3,3,2,3,2,2,3,2,3,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,1/14/19,109,2.25,2.166666667,2.75,2.5,2.25,2.5,2.25
Autistica - Work: Self Confidence,120,86004302,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,1/14/19,110,3,3,2.5,2.25,2.75,2.75,2.5
